filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29082984_62784328.xml,b'int\n',b'\n',"['read', 'solve', 'main']","b'typedef long long ll;typedef pair&lt;int,int> pr;'",[],[],[],"[' getchar ()', ' getchar ()', ' getchar ()', ' getchar ()', ' read ()', ' read ()', ' read ()', ' min b c / 2', ' min b c / 2', ' min a b / 2', ' read ()', ' solve ()']"
29058635_62784127.xml,b'void\n',b'T a\n',"['__p', '__p', '__p', '__p', '__f', '__f', 'equals', 'modpow', 'solve', 'main']","b'typedef long long ll;typedef long double ld;typedef pair&lt;int, int> pii;typedef gp_hash_table&lt;int, int> umap;typedef tree&lt;int, null_type, less&lt;int>, rb_tree_tag,\n\t\ttree_order_statistics_node_update> oset;typedef pair&lt;pii, int> piii;typedef vector&lt;int> vi;typedef vector&lt;pii> vii;'","[' const char * name', ' const char * names', ' const char * comma names + i']",[],[],"[' __p p', ' __p a . first', ' __p a . second', ' __p a1', ' __p a ...', ' __p arg1', ' cout . write names comma - names', ' __p arg1', ' __f comma + 1 args ...', ' clock ()', ' chrono :: steady_clock :: now ()', ' time_since_epoch ()', ' count ()', ' fabs a - b', ' ios_base :: sync_with_stdio false', ' cin . tie 0', ' cout . tie 0', ' cout . precision 10', ' cin . exceptions cin . failbit', ' freopen ""input.txt"" ""r"" stdin', ' freopen ""output.txt"" ""w"" stdout', ' solve ()', ' end_routine ()']"
29084627_62784318.xml,b'std::istream&\n',b'std::istream& is\n',"['operator', 'operator', 'operator', 'operator', 'in', 'in', 'in', 'in', 'out', 'out', 'eout', 'eout', 'main', 'solve']",b'',"[' const char * s', ' const char * s']","[' std :: istream & is', ' std :: pair T1 T2 & v', ' std :: istream & is', ' std :: vector T & v', ' T & i v', ' std :: ostream & os', ' const std :: pair T1 T2 & v', ' std :: ostream & os', ' const std :: vector T & v', ' X & x', ' X & x', ' Y & y', ' X & x', ' Y & y', ' Z & z', ' X & x', ' Y & y', ' Z & z', ' W & w']",[],"[' v . size ()', ' in x', ' in y', ' in x', ' in y z', ' in x', ' in y z w', ' out T ...', ' eout ++ s T ...', ' std :: ios_base :: sync_with_stdio 0', ' std :: cin . tie 0', ' in t', ' solve ()', ' in a b c', ' std :: max ans o1 + o2', ' out ans * 3']"
29088082_62789628.xml,b'bool\n',b'const piii &b\n',"['pw', 'main']",b'',[],[' const piii & b'],[],"[' pw b a / 2', ' setprecision 2', ' ios :: sync_with_stdio false', ' cin . tie 0', ' pw 2 m', ' pw tmp n']"
29090975_62792017.xml,b'int\n',b'\n',['main'],b'',[],[],[' int a 305 305'],"[' scanf ""%d"" & n', ' printf ""%d "" a j i', ' printf ""\\n""']"
29032753_62786773.xml,b'void\n',b'T a\n',"['__p', '__p', '__p', '__p', '__f', '__f', 'equals', 'gcd', 'modpow', 'solve', 'main']","b'typedef long long ll;typedef long double ld;typedef pair&lt;int, int> pii;typedef gp_hash_table&lt;int, int> umap;typedef tree&lt;int, null_type, less&lt;int>, rb_tree_tag,\n        tree_order_statistics_node_update> oset;typedef pair&lt;pii, int> piii;typedef vector&lt;int> vi;typedef vector&lt;pii> vii;typedef pair&lt;int, int> pi;typedef pair&lt;ll,ll> pl;'","[' const char * name', ' const char * names', ' const char * comma names + i']",[],[],"[' __p p', ' __p a . first', ' __p a . second', ' __p a1', ' __p a ...', ' __p arg1', ' cout . write names comma - names', ' __p arg1', ' __f comma + 1 args ...', ' clock ()', ' chrono :: steady_clock :: now ()', ' time_since_epoch ()', ' count ()', ' fabs a - b', ' gcd b % a a', ' modpow 2 m', ' modpow x n', ' ios_base :: sync_with_stdio false', ' cin . tie NULL', ' setprecision 10', ' freopen ""input.txt"" ""r"" stdin', ' freopen ""output.txt"" ""w"" stdout', ' solve ()', ' end_routine ()']"
29049297_62784713.xml,b'int\n',b'int a\n',"['f', 'main']",b'',[],[' int & ans dp a b c'],[' int dp N N N'],"[' min a b c', ' max ans 3 + max f a - 1 b - 2 c f a b - 1 c - 2', ' max f a - 1 b - 2 c f a b - 1 c - 2', ' f a - 1 b - 2 c', ' f a b - 1 c - 2', ' ios :: sync_with_stdio 0', ' cin . tie 0', ' cout . tie 0', ' memset dp - 1 dp', ' f a b c']"
29089638_62788764.xml,b'bool\n',b'T &a\n',"['chmax', 'chmin', 'main']",b'',[],"[' T & a', ' const T & b', ' T & a', ' const T & b', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' const mInt & p', ' ostream & os', ' const mInt & p', ' istream & is', ' mInt & a']",[],"[' std :: cin . tie 0', ' ios :: sync_with_stdio false', ' setprecision 12', ' x 0LL', ' x y >= 0 y % mod ( mod - ( - y ) % mod ) % mod', ' p . inverse ()', ' mInt - x', ' mInt * this', ' mInt * this', ' mInt * this', ' mInt * this', ' swap a -= t * b b', ' swap u -= t * v v', ' mInt u', ' mInt mod t', ' mint 2', ' pow m', ' mint 1', ' pow n']"
29061012_62786351.xml,b'int\n',b'int base\n',"['expo', 'inverse', 'solve', 'main']",b'',[],[],[' a 200005'],"[' chrono :: steady_clock :: now ()', ' time_since_epoch ()', ' count ()', ' expo x hell - 2 hell', ' expo 2LL m hell', ' expo power n hell', ' solve ()']"
29085534_62811121.xml,b'\n',b'\n',['main'],b'',[],[],"[' long long pows_2 100', ' long long pows_c 100']",[' cout . precision 20']
