ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29783704	blue	65	South Korea	64374597	8	31	GNU C++17	64389201	172	31	GNU C++17	64391731	8	31	GNU C++17	64393819	240	46	GNU C++17	64398540	13904	171	GNU C++17	-	-	-	-
29781325	blue	65	Belarus	64374529	8	30	GNU C++17	64380471	320	31	GNU C++17	64396534	152	46	GNU C++17	64385215	52	31	GNU C++17	64409825	5444	124	GNU C++17	-	-	-	-
29735268	blue	65	-	64373648	396	31	GNU C++14	64376967	472	46	GNU C++14	64403855	344	46	GNU C++14	64387391	8	46	GNU C++14	64400616	35412	577	GNU C++14	-	-	-	-
29780794	blue	68	China	64374009	18804	31	GNU C++14	64377194	476	15	GNU C++14	64391222	1720	46	GNU C++14	64382960	1576	31	GNU C++14	64405902	13284	171	GNU C++14	-	-	-	-
29740946	blue	69	Kazakhstan	64373503	16	31	GNU C++17	64375371	60	15	GNU C++17	64384607	152	46	GNU C++17	64391237	244	46	GNU C++17	64403859	16500	217	GNU C++17	-	-	-	-
29779961	blue	69	Индия	64375843	8	46	GNU C++14	64390185	112	31	GNU C++14	64404542	156	202	GNU C++14	64384181	260	46	GNU C++14	64400815	20540	358	GNU C++14	-	-	-	-
29776228	black	71	-	64375200	0	31	GNU C++11	64379315	0	15	GNU C++11	64389862	0	31	GNU C++11	64393536	8	46	GNU C++11	64402330	12504	202	GNU C++11	-	-	-	-
29784717	blue	72	-	64373842	8	31	GNU C++14	64381006	56	15	GNU C++14	64386158	156	46	GNU C++14	64393582	272	46	GNU C++14	64407275	12132	186	GNU C++14	-	-	-	-
29780695	blue	73	-	64374433	16	31	GNU C++17	64379540	308	46	GNU C++17	64389662	148	171	GNU C++17	64394501	240	46	GNU C++17	64402071	17900	374	GNU C++17	-	-	-	-
29773384	blue	74	-	64373499	12	31	GNU C++14	64377289	368	30	GNU C++14	64396244	156	46	GNU C++14	64387158	8	46	GNU C++14	64406985	12540	155	GNU C++14	-	-	-	-
29764741	blue	75	South Korea	64373544	8	46	GNU C++14	64376628	320	31	GNU C++14	64384175	156	31	GNU C++14	64387718	1000	46	GNU C++14	64410314	7660	108	GNU C++14	-	-	-	-
29752390	black	76	-	64376474	8	31	GNU C++11	64381066	64	31	GNU C++11	64394536	16	46	GNU C++11	64388410	7836	46	GNU C++11	64410076	5444	46	GNU C++11	-	-	-	-
29781750	blue	77	-	64374164	16	30	GNU C++14	64377741	436	31	GNU C++14	64384257	168	46	GNU C++14	64387454	8	46	GNU C++14	64412504	9396	249	GNU C++14	-	-	-	-
29780223	blue	78	-	64373521	16	31	GNU C++14	64376379	52	31	GNU C++14	64386299	160	31	GNU C++14	64389086	8	46	GNU C++14	64413570	40556	93	GNU C++14	-	-	-	-
29753068	blue	79	Россия	64373490	12	31	MS C++ 2017	64376489	136	31	MS C++ 2017	64394233	24	109	MS C++ 2017	64381670	8	46	MS C++ 2017	64413151	29000	655	MS C++ 2017	-	-	-	-
29738502	blue	80	Belarus	64373799	8	46	GNU C++14	64376321	60	30	GNU C++14	64383090	156	155	GNU C++14	64391835	9412	62	GNU C++14	64408840	16668	156	GNU C++14	-	-	-	-
29776021	blue	81	Узбекистан	64392520	7836	31	GNU C++17	64392087	56	30	GNU C++17	64403875	152	171	GNU C++17	64391499	7840	46	GNU C++17	64400737	49024	124	GNU C++17	-	-	-	-
29734975	blue	81	Ukraine	64373631	4160	31	GNU C++17	64378252	256	30	GNU C++17	64387835	8	31	GNU C++17	64395728	244	31	GNU C++17	64401037	17456	218	GNU C++17	-	-	-	-
29756831	cyan	83	-	64375337	4	46	GNU C++14	64378655	56	31	GNU C++14	64386298	156	155	GNU C++14	64393493	8	46	GNU C++14	64409296	8492	109	GNU C++14	-	-	-	-
29774969	blue	84	Индия	64374500	12	31	GNU C++17	64377999	52	30	GNU C++17	64387071	160	31	GNU C++17	64392989	9412	77	GNU C++17	64411634	13372	124	GNU C++17	-	-	-	-
29780248	blue	85	Россия	64376611	2364	31	GNU C++17	64379249	2612	31	GNU C++17	64388825	2752	46	GNU C++17	64396192	2356	31	GNU C++17	64408824	7236	140	GNU C++17	-	-	-	-
29771985	blue	86	Россия	64375439	8	31	GNU C++14	64389787	60	46	GNU C++14	64384131	144	46	GNU C++14	64393844	8	31	GNU C++14	64408232	11540	124	GNU C++14	-	-	-	-
29729320	blue	87	Индия	64373950	15832	30	GNU C++14	64377626	16104	31	GNU C++14	64398150	15816	202	GNU C++14	64382783	15672	31	GNU C++14	64414765	34784	171	GNU C++14	-	-	-	-
29784906	cyan	88	-	64385661	3924	31	GNU C++14	64388023	4232	31	GNU C++14	64400823	152	46	GNU C++14	64377647	8	31	GNU C++14	64410746	21084	186	GNU C++14	-	-	-	-
29783098	blue	89	-	64375125	4020	30	GNU C++14	64381248	444	30	GNU C++14	64411380	304	31	GNU C++14	64394383	108	31	GNU C++14	64401134	8540	78	GNU C++14	-	-	-	-
29767701	blue	90	Vietnam	64374225	48	31	GNU C++14	64379691	28	31	GNU C++14	64385860	8	31	GNU C++14	64393863	8	46	GNU C++14	64410041	127956	577	GNU C++14	-	-	-	-
29748193	blue	91	Jordan	64374104	1572	31	GNU C++17	64380205	1816	46	GNU C++17	64386681	1720	31	GNU C++17	64393185	1576	31	GNU C++17	64410465	19044	217	GNU C++17	-	-	-	-
29782866	blue	92	Japan	64373967	8	31	GNU C++14	64383703	240	31	GNU C++14	64382382	188	31	GNU C++14	64388982	4	46	GNU C++14	64411570	18948	187	GNU C++14	-	-	-	-
29734565	blue	93	Индия	64374454	248	31	GNU C++17	64378368	244	31	GNU C++17	64391700	200	46	GNU C++17	64398825	4	31	GNU C++17	64405840	18872	233	GNU C++17	-	-	-	-
