SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29175556_62996142	4	-	blue	GNU C++14	109	228
29180271_62978197	1	United States	blue	GNU C++17	77	8
29180271_62981075	2	United States	blue	GNU C++17	62	1580
29180271_62994449	3	United States	blue	GNU C++17	31	1576
29180271_62986310	4	United States	blue	GNU C++17	889	8
29175263_62978910	1	-	blue	GNU C++11	156	8
29175263_62983323	2	-	blue	GNU C++11	78	792
29175263_62990347	3	-	blue	GNU C++11	31	1568
29175263_62998559	4	-	blue	GNU C++11	124	8
29179683_62978693	1	-	blue	GNU C++17	77	8
29179683_62982794	2	-	blue	GNU C++17	62	7836
29179683_62991857	3	-	blue	GNU C++17	31	93940
29179683_62996901	4	-	blue	GNU C++17	451	93940
29155917_62978141	1	-	blue	Python 3	248	10260
29155917_62979866	2	-	blue	Python 3	202	7216
29155917_62985578	3	-	blue	Python 3	171	3376
29155917_63002213	4	-	blue	Java 8	186	0
29175693_62978867	1	China	cyan	GNU C++11	31	8
29175693_62983382	2	China	cyan	GNU C++11	31	396
29175693_62992164	3	China	cyan	GNU C++11	30	4
29175693_62997282	4	China	cyan	GNU C++11	156	1764
29144357_62977768	1	Iran	blue	GNU C++17	78	4
29144357_62980589	2	Iran	blue	GNU C++17	46	792
29144357_62992737	3	Iran	blue	GNU C++17	31	792
29144357_62997616	4	Iran	blue	GNU C++17	873	20
29178860_62980356	1	China	cyan	GNU C++17	78	796
29178860_62984032	2	China	cyan	GNU C++17	46	404
29178860_62989640	3	China	cyan	GNU C++17	31	792
29178860_62998043	4	China	cyan	GNU C++17	686	16
29177989_62998593	1	-	blue	GNU C++11	109	4
29177989_62999921	2	-	blue	GNU C++11	78	920
29177989_63003683	3	-	blue	GNU C++11	31	8
29177989_62997805	6	-	blue	GNU C++11	171	5588
29177813_62977725	1	-	blue	GNU C++17	358	1572
29177813_62981221	2	-	blue	GNU C++14	139	796
29177813_62988254	3	-	blue	GNU C++17	30	2356
29177813_63006479	4	-	blue	GNU C++17	358	24
29139833_62977731	1	China	blue	GNU C++11	30	4
29139833_62980333	2	China	blue	GNU C++11	31	400
29139833_62996895	3	China	blue	GNU C++11	31	400
29139833_62988393	4	China	blue	GNU C++11	234	4
29175488_62978968	1	China	blue	GNU C++11	31	4
29175488_62981697	2	China	blue	GNU C++11	31	3920
29175488_62990460	3	China	blue	GNU C++11	31	792
29175488_62995417	4	China	blue	GNU C++11	265	8
29154358_62979561	1	China	cyan	GNU C++11	421	4
29154358_62985411	2	China	cyan	GNU C++11	171	400
29154358_62999611	7	China	cyan	GNU C++11	1669	69592
29178483_62978963	1	-	blue	GNU C++14	77	8
29178483_62985110	2	-	blue	GNU C++14	46	400
29178483_62990757	3	-	blue	GNU C++14	31	792
29178483_62999765	4	-	blue	GNU C++14	171	12
29177341_62978655	1	Hungary	blue	GNU C++14	93	8
29177341_62984613	2	Hungary	blue	GNU C++14	46	404
29177341_62990657	3	Hungary	blue	GNU C++14	46	792
29177341_62997539	4	Hungary	blue	GNU C++14	124	8
29177107_62978604	1	Czechia	blue	GNU C++14	77	4
29177107_62982664	2	Czechia	blue	GNU C++14	61	408
29177107_62991872	3	Czechia	blue	GNU C++14	31	3448
29177107_62999794	4	Czechia	blue	GNU C++14	77	8
29166551_62979727	1	-	blue	GNU C++17	77	792
29166551_62980922	2	-	blue	GNU C++17	61	788
29166551_62991558	3	-	blue	GNU C++17	30	1576
29166551_62998042	4	-	blue	GNU C++17	311	8
29178896_62977590	1	Japan	blue	GNU C++17	77	4
29178896_62979842	2	Japan	blue	GNU C++17	77	788
29178896_62990909	3	Japan	blue	GNU C++17	46	796
29178896_63003924	4	Japan	blue	GNU C++17	62	12
29169927_62977551	1	China	blue	GNU C++14	124	8
29169927_62982724	2	China	blue	GNU C++11	31	400
29169927_62989867	3	China	blue	GNU C++11	31	792
29169927_63004731	4	China	blue	GNU C++11	311	24
29177190_62977798	1	China	cyan	GNU C++11	46	4
29177190_62980512	2	China	cyan	GNU C++11	62	792
29177190_62993514	3	China	cyan	GNU C++11	31	872
29177190_62998760	4	China	cyan	GNU C++11	155	2456
29172998_62977592	1	China	blue	GNU C++11	124	12
29172998_62980587	2	China	blue	GNU C++11	78	792
29172998_62988085	3	China	blue	GNU C++11	31	796
29172998_62998920	4	China	blue	GNU C++11	77	2360
29143681_62978607	1	Vietnam	blue	GNU C++11	140	4
29143681_62982569	2	Vietnam	blue	GNU C++11	93	784
29143681_62992745	3	Vietnam	blue	GNU C++11	31	3144
29143681_62999132	4	Vietnam	blue	GNU C++11	280	892
29172583_62981829	1	China	blue	GNU C++11	62	4
29172583_62983889	2	China	blue	GNU C++11	46	3920
29172583_62993843	3	China	blue	GNU C++11	31	2356
29172583_62996146	4	China	blue	GNU C++11	296	8
29177940_62977651	1	Japan	blue	GNU C++14	373	4
29177940_62979464	2	Japan	blue	GNU C++14	124	788
29177940_62992699	3	Japan	blue	GNU C++14	46	5264
29177940_63002085	4	Japan	blue	GNU C++14	280	12
29177921_62979968	1	-	blue	GNU C++11	61	8
29177921_62983564	2	-	blue	GNU C++11	46	792
29177921_62993436	3	-	blue	GNU C++11	31	788
29177921_62997861	4	-	blue	GNU C++11	405	8
29176235_62977643	1	Taiwan	blue	GNU C++17	109	4
29176235_62981479	2	Taiwan	blue	GNU C++17	62	780
29176235_62988695	3	Taiwan	blue	GNU C++17	31	780
29176235_63005313	4	Taiwan	blue	GNU C++17	358	8
29180131_62978084	1	China	blue	GNU C++14	77	4
